RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
112345,Maryvale,Arizona,1,,,,,,,,,,,,,,,,,,,48100,50600,56300,55600,56200,53900,52600,52300,50300,52800,51400,48300,45400,42600,42500,40400,42200,42e3,42300,40600,39200,40400,40700,42100,43100,44800,45700,45300,46300,47800,49900,52400,58500,62800,65100,65500,67900,73300,73800,74900,82100,85600,84500,77200,79500,84300,86500,95900,97800,102400,96200,96600,95400,93100,94500,97100,99200,100600,100800,104e3,104e3,104100,104400,111800,110700,112500,110400,114700,116800,118200,120200,120900,120100,119200,119100,122300,126300,136e3,136600,137300,133100,134300,137700,137800,141400,142200,145800,146400,148e3,150200,150900,153e3,150100,151700,150300,153300,155900,159900,160200,16e4,163300,166400,168100,168200,168800,171400,173700,175300,178500,178e3,181400,181e3
192689,Paradise,Nevada,2,270600,286100,290500,258100,231700,214300,203400,191400,181700,168100,163900,148300,137900,127500,123500,114300,114400,113500,115600,113300,115300,117800,117400,117e3,115700,116200,117e3,116400,117400,115700,113300,106300,105200,104300,106e3,106400,104600,107300,101400,102800,98e3,101100,98e3,100400,100400,100700,102600,101100,106e3,102500,106e3,107e3,115500,113500,115700,113e3,122800,127200,132400,134200,135200,139600,140300,142300,143500,145200,147800,147900,150500,153400,156200,156700,157e3,155e3,156300,148800,154600,165900,173400,173200,164e3,167700,168900,169500,173300,175600,176900,17e4,169400,172200,180100,181900,183900,181400,182400,182600,182200,182700,182600,185500,185600,187e3,186200,191200,189200,191900,191400,195400,198500,198200,203e3,206300,208900,208100,210500,213400,217e3,221100,227100,230100,231400,233800,239700,245200,247100,250800,250900,25e4,251700,
270958,Upper West Side,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975700,969100,921300,993600,1035600,1039400,929e3,899800,912200,940400,976600,981200,922100,796400,740300,756300,794800,795300,792500,857200,864e3,902700,826200,870400,884900,934600,892500,868800,839100,855300,824600,833800,863800,915800,948800,916e3,931100,915200,9e5,865400,902e3,950500,965700,937800,944900,897800,905900,877200,900700,877500,913e3,945400,953900,925e3,972500,1063400,1082900,1104600,1126100,1369400,1387800,1391300,1166700,1169600,1093400,1055200,1006900,985900,1003800,1085900,1076100,1085400,970200,979200,1049600,1075600,1162800,1197300,1229500,1200400,1126e3,1095900,1064400,1126700,1210300,1251e3,1160800,1076500,1144900,1183e3,1176300,1063600,1218e3,1255800,1226900,1028e3,1033400
118208,South Los Angeles,California,4,,,,,,283800,268500,262900,245200,231400,22e4,211600,211700,194400,183600,174200,180900,184800,183200,178400,184100,191900,198e3,197400,193300,191800,199300,208800,204200,201400,203200,211500,206100,198300,204500,216600,219900,206600,199600,198200,204800,200600,198300,197900,194300,193600,191600,195900,200200,200100,202400,202600,203e3,207700,206100,210400,212800,218100,223600,219900,222900,226e3,233600,237300,241400,243e3,251500,255900,267e3,271500,274800,277300,280700,285200,289900,292500,29e4,288600,291e3,294100,298400,296800,299800,297200,301200,312400,316200,314100,309800,309500,315600,321100,325100,328700,330400,340500,343200,345200,344600,355300,364e3,373100,368e3,369400,364e3,370400,373300,382100,386900,388700,390200,408200,415200,427500,417500,422900,423300,438600,452700,458600,463e3,456300,469100,477e3,478900,479400,467100,474100,477900,483600
192820,Sunrise Manor,Nevada,5,,,,,,,,,,,,,,,,,,,72400,75700,77e3,85500,88600,89400,82700,82600,82600,83400,81e3,80500,78500,76e3,75400,72900,74500,72800,74100,72400,71700,71200,67300,66200,65300,67900,70100,67700,67400,65600,67400,67400,70200,74100,77200,77100,79600,81600,87400,89e3,93300,95700,97900,97e3,95500,98300,102100,106700,109200,109400,114100,113600,116200,113300,116300,116e3,116800,112400,113e3,114800,119900,124700,131700,134600,133600,129e3,128700,132600,134100,134800,137300,137300,138900,136400,137900,138900,16e4,160400,161100,151600,154900,156500,148500,150300,151800,152700,152200,151e3,153500,157600,162800,165600,166200,167500,169500,17e4,170400,171500,176400,181900,186400,189400,192500,192e3,194e3,202800,206400,205900,200300,206600,208900,208500
192796,Spring Valley,Nevada,6,234100,228400,224900,223400,216300,214800,197600,193900,185100,184600,178500,171900,165200,150700,138300,130800,129200,126400,121e3,123300,126e3,127800,128e3,128e3,132400,133500,132900,135600,128700,126600,117200,119e3,118800,119100,117300,117800,116500,112700,113600,117e3,117500,111600,106300,107900,109800,110200,11e4,109700,117700,117300,121600,122600,128900,131100,127300,130200,133900,139700,143700,144800,152700,153700,155600,153600,156400,159600,162300,164800,167500,166400,166900,169500,171300,174500,176100,176e3,173100,171300,169500,179800,181200,188700,183300,186400,188100,189800,189600,188300,188400,188700,188500,186e3,188100,191100,195200,204400,224500,224500,217e3,199300,205400,206500,206700,206e3,224100,226300,226100,211e3,213200,216e3,220100,224500,227600,233500,236800,240200,239100,243300,250900,257400,269e3,273500,281400,281300,284200,284200,283300,286800,289600,
268496,Southeast Los Angeles,California,7,,,,,,,,,,193700,189700,169400,151400,140700,144400,140800,133e3,129e3,129500,133700,138200,143400,151300,148800,147300,140800,142300,149300,148600,154800,160700,172300,171500,163200,154600,152600,158e3,168500,172800,173e3,173700,173200,167400,165700,160800,160400,152e3,149800,150600,160700,167600,176300,170600,183400,175700,186100,181600,188400,184100,174e3,180100,187300,198900,200400,198100,213700,224400,228200,214600,212500,219400,226600,218200,218300,220500,233800,237900,243200,242800,243100,249200,247500,249600,242500,250500,257500,266600,276e3,274900,271900,273200,277300,287400,286200,286400,286400,289700,291400,291800,294900,301500,304700,307700,310200,310300,311200,313700,324600,329e3,325500,327200,324600,332100,333600,339100,342500,342700,343500,342800,337700,347100,354200,360900,363500,363e3,382600,381500,400500,389300,393e3
112547,Paradise Valley,Arizona,8,281200,261e3,262400,264200,262e3,251500,247800,240900,258800,250500,244900,209800,187300,167500,162800,168800,173100,174e3,171700,168500,172100,173800,182e3,169e3,162100,151e3,158100,165100,168300,160900,150400,148400,147800,150700,154800,156e3,146300,137500,129500,136700,137900,142400,142300,141900,148600,15e4,149700,142600,141100,14e4,142600,146400,150100,155200,150500,153900,157200,166500,169400,174e3,170400,169700,175800,192500,205300,201300,197300,197800,197200,195700,200600,189500,188e3,179200,185300,187300,185400,192700,194200,194700,192800,194700,198300,210600,214700,218900,216700,219100,207300,207300,203600,216900,221e3,224100,235e3,230600,241500,233300,239e3,232700,233300,236500,239700,242500,242100,243300,247200,247e3,246700,241700,242200,242200,247200,251100,252500,253e3,256100,258100,266800,264400,264600,261600,270900,277200,292200,299100,304900,305200,,
111818,Deer Valley,Arizona,9,215100,209600,202900,198800,195900,187900,182700,178700,175600,167400,160700,155400,150800,137500,130200,125700,127300,127500,131500,130100,128800,126200,128800,129100,129200,125400,125300,121400,119800,115900,118100,119500,115700,107700,102900,104600,104400,102100,101300,101600,102100,101700,103900,106e3,107e3,109300,104400,103600,101300,109e3,113400,115200,115e3,118200,120400,128500,127900,132500,132500,136300,136700,138900,142500,144300,146600,147100,149700,150100,150500,151e3,152100,154800,156600,157200,154300,157400,163200,166200,161500,155e3,152200,155400,149900,154e3,155100,163700,167200,170600,172800,171900,173500,176400,180100,184800,185900,186400,185500,194400,198100,199500,193800,194900,197700,201e3,203e3,202300,203e3,206100,209600,209800,206700,205900,209500,214100,217200,218e3,221300,222e3,224400,221900,224400,229300,230500,234800,233500,239800,,,,
267955,North Mountain,Arizona,10,,,,,,,,,,,,,,,,,,,76800,79200,88e3,86100,88700,81800,84600,83900,85200,86100,83e3,82700,79100,80700,77300,72100,77600,72400,74400,64100,66300,68200,68500,71900,73500,72300,79400,78900,85700,78700,79800,79200,82700,86300,9e4,93200,94700,97800,104700,107800,111600,114e3,117900,121100,120100,121700,122800,126500,126e3,128600,129500,130200,126700,136500,137400,141800,131600,129900,128500,129800,131600,133400,131200,133300,134700,137800,140800,141900,149300,150300,153700,149700,152700,151300,152500,153500,158500,164500,163e3,159800,158300,163100,165300,167e3,166900,160900,164e3,166900,178800,176500,177800,174400,176900,176e3,175900,175200,178100,177700,179700,176100,188400,193300,200600,200200,201400,201900,204600,204700,210400,211400,216100,212700
273698,Far North,Texas,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282100,282600,295e3,301200,299300,306e3,303500,304800,289600,285100,279800,284200,288500,288700,289600,293900,303900,310300,310600,316800,319600,320600,311100,304800,311e3,312500,315700,311e3,314400,313800,321900,317200,318500,316800,319900,337500,334600,346200,324800,344400,330300,334800,316200,319200,334800,345700,361100,367e3,366700,360200,350400,347600,353600,352100,346100,324900,340200,350800,362e3,366600,363900,384e3,36e4,358200,354100,,
267908,Camelback East,Arizona,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164200,168900,152200,147800,153800,161600,166500,179500,176700,172600,161e3,163500,167100,172700,175800,178e3,173700,170500,163500,162800,163500,168200,172500,172900,174900,190600,206200,206100,205100,214900,221700,223500,217200,234200,248400,252700,238800,222900,217600,225400,221900,220700,221500,222300,230300,226800,227500,254500,261400,264100,228600,219e3,227500,228100,237e3,241200,250100,248200,252400,262500,274500,296e3,312500,320100,286500,256900,247900,285900,315700,327500,320400,366500,
273566,East Side,Texas,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118200,123800,123900,126900,125300,127300,126200,132800,128600,130300,124e3,130800,124800,121100,118900,122200,121200,116300,115100,117400,120200,122100,126500,124200,126100,123200,121600,122500,122200,123800,119500,120700,121700,127e3,125900,129600,125e3,127200,123200,121800,119900,119500,123e3,122300,122100,121e3,124e3,124100,126e3,125700,129300,130200,125e3,125600,124600,130200,126500,123800,120800,123800,121100,121e3,123600,128800,132500,129100,130400,130700,137200,138e3,136300,131e3,131900,133700,134200,133100,135900,138400,139400,139300,137800,134800,136100,138900,143200,142200,139600,137500,135400,134100,132800
272734,Alhambra,Arizona,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76400,83200,88200,97300,92100,95100,96500,103300,101500,104300,106200,112500,113900,121800,119500,119700,114700,120200,121800,116900,115600,116100,120100,120300,120400,125300,127600,128400,124e3,121400,128300,130700,143700,139600,144200,136200,138800,139500,133800,138800,14e4,151900,160600,165e3,164800,154700,153100,155800,159400,162e3,162700,163800,166700,168200,170500,169700,172300,178400,180400,180700,169300,169700,182400,196100,196200,180400,183100,183100,19e4,200400,213800,217e3,202300,,
35521,Enterprise,Nevada,15,249100,245200,239700,230500,227300,223200,214e3,205300,194500,192300,187600,18e4,170600,163100,158900,156e3,151500,146200,144300,141400,144900,144100,149800,151e3,154e3,151300,150200,147700,145600,143600,145600,143700,142900,138100,141300,140800,138400,134200,132500,131100,132400,129800,131500,128900,130700,128500,131700,130900,134400,133600,141500,149900,153800,154800,150400,150800,153200,155700,159900,160800,166100,170400,176300,180500,184700,186800,191200,194800,194100,190200,187800,191600,196500,202500,202100,202e3,204700,207200,227400,224800,226800,211600,213100,212500,216500,215900,218600,213600,214200,212e3,215200,217800,236700,239800,244100,230200,224200,222700,224100,231100,23e4,230200,225300,228500,230200,235900,240400,245600,248300,247100,243800,246400,249e3,255800,257300,258600,261700,266500,274600,276500,287800,299500,316e3,320700,317600,314500,317700,325900,327800,326100
274742,North Scottsdale,Arizona,16,474400,433600,432700,450300,445900,473800,477e3,502200,494400,471400,458800,415700,454e3,413400,399e3,336300,343600,381500,393800,420300,395200,382200,369e3,355e3,346600,328100,329e3,346300,348100,360800,358300,369500,372e3,359e3,361800,343900,338900,316600,320800,338e3,353300,377500,382400,390600,386100,384700,333e3,280400,238e3,256e3,270600,271600,260700,251300,254600,272500,282600,309400,312600,314700,298700,296e3,312900,323500,328500,316800,305500,307100,305600,311200,300600,310400,310600,341100,334600,372800,348800,347200,302200,313400,283700,294500,287400,313100,321400,331900,328800,319e3,322400,344700,356e3,340200,336500,334100,344800,356700,360500,361300,342700,338500,310900,311700,316700,343500,375200,372200,385500,363100,364100,357300,369800,380900,381800,391800,406200,421e3,422200,416400,418900,409600,402900,400400,406200,424400,443700,511400,,,,
275237,Roosevelt,California,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160500,156700,143700,143600,143300,142e3,138700,150300,151100,159e3,151200,156900,163600,159800,148100,138500,151900,160400,182300,178700,176400,159600,154400,154900,148900,159400,166600,173800,168200,166700,167100,161800,163e3,160900,174900,178e3,182600,179500,178100,207700,215200,213100,200700,198400,216300,202300,208e3,210800,229300,228600,213700,192600,185100,185900,190900
267971,South Mountain,Arizona,18,,,,,,,,,,,,,,,,,63800,69300,72100,74400,72e3,77100,77800,83600,80100,82900,82100,81400,76900,71200,87400,85900,83200,61400,62e3,62500,65800,63700,66900,65500,65100,63700,64900,64e3,65400,64500,64800,60500,61400,67400,75900,78100,74600,86500,9e4,95600,82200,86e3,84400,86600,89500,91200,95900,94100,100700,98900,97300,101400,105700,110400,108100,105900,104600,110600,117100,122e3,117300,118e3,119e3,117200,117700,116e3,116300,122200,122400,130200,126900,131300,131800,132700,140300,140300,141200,143700,154200,157400,154200,144e3,143800,143300,146400,150100,151200,160700,164e3,165500,165100,170500,178800,179600,177e3,174500,175600,187400,192100,194300,191700,191e3,197700,196700,198700,194300,191e3,187500,185500,189200,200600,209400,209100,201500
