RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
61639,10025,New York,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905700,934300,1010400,936e3,917200,855500,859e3,886200,885600,834100,839800,858700,946300,998700,1028900,11e5,1048600,1014700,935800,953400,933700,884400,892300,885100,1076100,1086300,1053100,952800,1007400,1108e3,1159900,1083400,968600
84654,60657,Illinois,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396200,397600,403e3,410500,413900,386100,383200,379300,395200,391500,382900,382600,367200,374500,365400,365500,319900,321500,308500,315200,312500,319200,324700,32e4,328400,338800,330100,316900,320900,316900,328100,298600,314700,310900,318500,306900,306100,326400,336100,353900,358800,361200,363700,369200,381600,340200,334100,,,,,,,
91982,77494,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249400,264600,258700,256700,246300,250200,249100,249300,251400,251300,266600,267600,272700,262400,259700,252200,254e3,255600,267e3,264e3,261500,251100,248300,251400,257800,263900,265200,265400,272900,278300,278300,270200,268300,271200,278100,278400,280300,280200,282100,278700,280600,284500,292100,290900,286200,288800,289300,301600,300400,313800,311500,311700,302700,295900,305700,306200,312600,303500,306100,305300,305300,305100,308900,313700,315100,318e3,315800,323100,326200,33e4,332700,328300,326100,313600,312300,316800,317500,314600,312e3,315500,316100,327400,331200,336100,333700,330600,333900,322300,321400,309200,311300,304300,
93144,79936,Texas,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118400,120400,115300,118e3,114e3,113700,114900,118200,119100,118400,117500,117200,116800,119600,123700,120800,122500,119200,118600,119900,119e3,115600,104400,107200,112500,121500,119500,120700,118200,120300,119300,119500,117400,116900,118600,114800,115600,114700,119100,119e3,120500,120600,123300,121300,119700,116900,119200,123300,120600,116800,113900,119300,119100,117400,117700,122300,126700,126900,124500,124e3,125200,129600,128900,126800,126800,129500,128800,127800,131500,133300,130300,127100,127800,128100,126500,126700,131e3,131900,130800,128900,130100,128400,126900
91940,77449,Texas,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146200,147700,146100,148100,149300,152800,151700,152500,154600,155900,152700,150800,156100,162200,163500,159800,159600,165e3,171e3,172600,172300,169100,167e3,165600,167800,167400,168600,164400,166500,164700,169100,170800,174700,175700,177200,177500,176400,173800,171500,177200,180100,182100,178100,178600,178700,180800,184500,187400,191e3,190700
61616,10002,New York,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451700,428700,405200,436e3,448100,469400,455300,495600,521500,542400,529600,547200,536800,563700,535400,534300,516e3,563e3,56e4,564700,544900,548800,569200,582600,621400,592200,612100,669e3,685700,661200,581300,600500,568500,626900,617400,644100,643100,672400,678400,669900,718700,788600,844700,833800,813900,772500,751700,740400,730300,750300,789300,798e3,828900,762100,776300,718400,793900,767300,856100,846800,852900,808100,810200,849700,847900,923200,965600,977500,869900,823200,799700,854e3,782700,780900,722e3,841200
61630,10016,New York,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673300,824200,853300,866900,763100,762300,761500,738800,834800,855900,865800,721400,691600,709500,725900,690300,648400,718100,788500,854300,827200,839300,801800,820800,828200,823300,819500,789400,799600,797600,778800,757400,735200,775700,802500,885900,874700,897300,792600
74101,37013,Tennessee,8,132800,135100,133600,133400,132500,132300,131400,131400,127900,124300,121400,125100,131600,131900,128800,125800,128800,129400,127500,127500,124200,125700,120500,122500,122500,122100,122400,122e3,121800,118100,117400,113200,111600,110600,110500,113700,108800,105600,102400,103500,106200,103400,102900,100600,101800,106200,110400,113600,106700,104300,104e3,105200,104200,99100,106200,112800,114900,107600,105400,109e3,114300,120300,121800,125100,123800,120300,118e3,119500,125500,130300,132400,133800,132900,132100,131700,130800,129200,129700,131100,132e3,133100,133500,135700,144400,148800,147700,142200,142e3,147600,148600,148800,147200,148e3,148600,152100,152300,154600,154300,159100,162100,163800,163e3,166e3,168900,173200,173600,172800,174900,174800,180100,178600,179400,180500,185900,191800,195500,195900,196e3,192400,195100,199400,207e3,214500,216400,221300,216400,218300,217e3,215300,214800
96107,90250,California,9,51e4,447900,389e3,368800,415800,406300,398900,372500,383900,389900,374800,353400,34e4,320100,307400,305100,309300,32e4,317700,311800,309500,330800,339700,343900,348e3,351600,370500,343200,342300,329300,332200,333300,319500,326500,334600,363400,355700,360900,325700,308400,291700,295e3,312e3,309600,323500,321100,317600,289500,297900,301300,313700,298500,314900,316e3,331500,320300,358200,355900,373900,364900,388e3,370500,360100,370800,389e3,418500,415600,401100,399e3,395300,457600,459e3,461400,428600,432200,437400,451700,477100,488400,483900,451900,472700,469900,490800,504900,510500,508100,479400,481100,473800,477600,478100,497700,506400,524600,530300,532e3,521800,501400,512100,521400,548900,543500,549800,555600,562200,61e4,610500,620900,582600,585200,570900,608800,600500,607e3,564400,564600,558200,588600,615700,645800,637400,632400,630800,656400,683200,685200,658500,642800,649e3
74242,37211,Tennessee,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173e3,173600,170800,168700,172700,174200,181e3,176300,181600,182600,187200,184700,185900,183300,187400,189700,193500,198100,211300,214700,213700,201100,201700,202300,207400,211900,218300,222900,223600,222500,223100,227400,229900,235500,233300,235600,231e3,237900,239600,240100,240400,238500,256e3,257e3,265500,258800,257200,254500,245800,248200,252700,253900,258e3
