,Metro,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018
0,Austin-Round Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349500.0,356300.0,370700.0,286800.0,282750.0,290850.0,290450.0,284050.0,278950.0,281650.0,266766.6666666667,252614.2857142857,252328.57142857142,245850.0,244587.5,248025.0,244950.0,243025.0,248618.18181818182,247427.27272727274,247609.0909090909,253914.2857142857,251253.33333333334,253766.66666666666,258526.66666666666,263813.3333333333,266940.0,263933.3333333333,263500.0,250029.41176470587,253076.4705882353,254252.9411764706,253316.66666666666,252700.0,255038.09523809524,257342.85714285713,253771.42857142858,254180.95238095237,254376.19047619047,257430.4347826087,257395.83333333334,262033.33333333334,262500.0,266515.3846153846,265723.07692307694,272982.14285714284,270168.9655172414,274437.9310344828,277648.275862069,281437.9310344828,277713.3333333333,278740.0,279636.6666666667,282476.6666666667,284803.3333333333,286506.6666666667,288856.6666666667,288590.0,289863.3333333333,287390.0,286863.3333333333,284350.0,288716.6666666667,292053.3333333333,294223.3333333333,296693.3333333333,296846.6666666667,297530.0,295583.3333333333,294516.6666666667,296686.6666666667,297590.0,299533.3333333333,299986.6666666667,301046.6666666667,302620.0,304334.4827586207,,,,,,3181072.023809524,3062327.164502165,3052911.2821215442,3269537.041177214,3454693.3333333335,3582967.816091954
1,Dallas-Fort Worth-Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219900.0,225200.0,213466.66666666666,215200.0,202475.0,209900.0,211200.0,212925.0,209750.0,221350.0,225750.0,232860.0,227080.0,215050.0,229900.0,242622.22222222222,256400.0,256237.5,258362.5,261700.0,258723.5294117647,261400.0,259958.82352941178,259194.44444444444,261936.84210526315,264000.0,258818.18181818182,249921.21212121213,243831.57894736843,241100.0,241721.42857142858,238759.0909090909,241251.11111111112,237693.47826086957,239470.21276595743,237058.0,242262.0,239766.03773584907,240430.35714285713,236620.3125,233367.56756756757,233958.1081081081,232337.1794871795,231452.5641025641,233370.5128205128,233589.8734177215,236715.18987341772,238707.59493670886,241256.7901234568,240220.73170731709,238794.04761904763,238306.7415730337,239194.44444444444,240612.22222222222,239865.93406593407,240203.2258064516,243540.86021505378,246518.27956989247,247315.05376344087,247902.1505376344,250880.64516129033,254269.8924731183,256423.6559139785,257756.98924731184,257258.06451612903,258162.36559139786,258359.13978494622,260152.688172043,262211.82795698923,264186.0215053763,265437.63440860214,266231.18279569893,268379.5698924731,271705.376344086,274186.0215053763,275000.0,274283.87096774194,274553.7634408602,273304.3010752688,275241.3043478261,276829.6703296703,272207.0588235294,270337.6811594203,,,,,,2960294.5751633984,2977697.5810549273,2830927.702755778,2894535.926047004,3093001.075268817,3272259.800681952
2,Denver-Aurora-Lakewood,233650.0,230470.0,227670.0,226726.0,227288.0,230636.0,224880.76923076922,223971.15384615384,222001.92307692306,218767.3076923077,216575.4716981132,216275.4716981132,214612.96296296295,217260.7142857143,215166.07142857142,215626.31578947368,217475.8620689655,220824.1379310345,223377.58620689655,226263.7931034483,226025.8620689655,226643.10344827586,224446.55172413794,226058.62068965516,225682.75862068965,225355.93220338982,223261.01694915254,222085.0,222771.66666666666,225163.33333333334,227676.66666666666,227695.0,227256.66666666666,229161.29032258064,226195.2380952381,225287.5,222517.1875,223471.875,220659.0909090909,219987.87878787878,218389.55223880598,222280.59701492538,224922.38805970148,225952.1739130435,226418.84057971014,226014.4927536232,226098.5507246377,221082.60869565216,224124.2857142857,224837.5,231677.77777777778,236876.38888888888,240288.88888888888,244893.05555555556,246815.0684931507,245771.62162162163,245574.32432432432,245488.0,248305.33333333334,249146.66666666666,248902.66666666666,252586.66666666666,255013.33333333334,260317.1052631579,261235.06493506493,263005.1948051948,265468.83116883115,268405.1948051948,270312.987012987,269093.5064935065,269719.48051948054,268127.2727272727,270546.75324675324,272737.1794871795,277226.92307692306,279173.07692307694,282819.23076923075,284180.76923076925,286438.46153846156,287265.3846153846,292288.46153846156,296256.41025641025,302955.1282051282,306042.3076923077,310316.6666666667,310055.1282051282,309724.0506329114,310657.5,313523.75,316527.5,320138.75,323253.75,325423.75,328465.0,333451.25,336581.25,341053.75,343802.5,347876.5432098765,349897.5903614458,352368.6746987952,354983.1325301205,355949.3975903614,358443.3734939759,358859.0361445783,362701.2048192771,366940.9638554217,371407.2289156627,372525.3012048193,373128.9156626506,375081.9277108434,379307.2289156627,381702.4096385542,385413.2530120482,387010.843373494,390591.5662650602,393409.6385542169,398455.421686747,404961.4457831325,410549.3975903614,413667.4698795181,415530.1204819277,415046.9879518072,415763.8554216867,414516.8674698795,418381.9277108434,417982.9268292683,417843.75,419656.5789473684,416952.85714285716,2266061.1538461535,2636127.352690535,2706614.503842939,2682096.814852017,2833528.0706847836,3111792.5511506037,3366779.403929404,3777083.2814021423,4195967.702848431,4574974.698795181,4980854.18520865
3,Detroit-Warren-Dearborn,169489.2857142857,165067.85714285713,157925.0,152403.57142857142,150875.0,148664.2857142857,149807.14285714287,143657.14285714287,140957.14285714287,135867.85714285713,135942.85714285713,134078.57142857142,134689.6551724138,129324.13793103448,125225.80645161291,121016.12903225806,119761.29032258065,116718.75,117039.39393939394,117405.55555555556,121216.66666666667,125408.1081081081,128454.05405405405,125691.8918918919,124170.27027027027,115571.42857142857,115218.18181818182,113302.27272727272,111704.54545454546,109329.54545454546,108825.0,108118.18181818182,108102.27272727272,111353.33333333333,112868.88888888889,112215.21739130435,110402.17391304347,108038.29787234042,108816.66666666667,108491.83673469388,110404.08163265306,111412.24489795919,112116.32653061225,112857.14285714286,113148.0,112184.0,116373.58490566038,117542.5925925926,120733.92857142857,122700.0,123958.62068965517,125083.05084745762,126816.66666666667,129081.66666666667,133172.131147541,136456.92307692306,138363.07692307694,141390.76923076922,144233.84615384616,144844.11764705883,144881.15942028986,144742.85714285713,147252.05479452055,149775.67567567568,153036.0,157584.41558441558,160228.20512820513,160278.48101265822,161118.98734177215,160896.20253164557,162917.5,164648.14814814815,165380.48780487804,165518.29268292684,166656.0975609756,167529.7619047619,168368.60465116278,169741.86046511628,171337.2093023256,174041.86046511628,174458.62068965516,175118.3908045977,175018.18181818182,176435.22727272726,176197.72727272726,177240.44943820225,177724.44444444444,178996.66666666666,178712.22222222222,178223.33333333334,178434.06593406593,181283.87096774194,181761.70212765958,183238.1443298969,182653.53535353535,184253.0,184285.29411764705,183542.71844660194,181474.03846153847,181792.38095238095,183184.7619047619,184964.7619047619,185603.80952380953,186465.7142857143,189606.66666666666,192617.14285714287,194774.2857142857,194648.57142857142,196078.09523809524,198743.80952380953,200564.7619047619,201627.61904761905,200715.2380952381,199947.61904761905,199142.85714285713,200355.2380952381,203587.61904761905,206884.7619047619,210067.61904761905,211179.04761904763,213871.42857142858,213616.19047619047,214029.52380952382,209722.11538461538,208935.57692307694,209062.1359223301,209881.3725490196,210111.8811881188,209736.0,223560.27397260274,1514714.285714286,1497826.9217510526,1379840.978120978,1332954.877385305,1531673.0113184378,1828872.002432945,2025716.8344796642,2143266.0358278695,2220443.824474561,2397070.4761904757,2543773.165463573
4,New York-Newark-Jersey City,395665.07936507935,395523.8095238095,390185.71428571426,385471.4285714286,384285.9375,380790.625,377203.125,370892.1875,368981.25,369717.1875,371007.8125,366551.5625,364782.8125,355584.8484848485,352668.115942029,345334.7826086957,345677.4647887324,346687.8378378378,346989.1891891892,346700.0,348765.3333333333,346834.6666666667,346392.0,346138.6666666667,351397.3333333333,353660.0,355198.7012987013,354187.012987013,357203.75,358622.22222222225,356374.39024390245,357565.85365853657,354673.1707317073,354771.0843373494,353438.5542168675,349216.6666666667,346887.20930232556,351686.2068965517,348688.63636363635,349149.4382022472,342290.32258064515,345277.6595744681,345427.0833333333,346577.77777777775,343996.9696969697,340127.2727272727,334588.11881188117,333823.7623762376,333770.5882352941,335401.9417475728,334266.3551401869,327150.8474576271,326682.4,327023.8095238095,326954.2635658915,324279.54545454547,325860.6060606061,325918.7969924812,327984.6715328467,329269.6551724138,332962.6666666667,333207.7922077922,345183.3333333333,346279.6407185629,349757.8947368421,350698.84393063583,351376.4367816092,350184.6590909091,353863.1284916201,356262.77777777775,359027.22222222225,357356.6666666667,360199.44751381216,358169.5652173913,361969.4300518135,360855.0505050505,365132.03883495147,370128.3653846154,372860.663507109,372155.45023696683,372506.6350710901,374365.4028436019,377452.1327014218,382496.22641509434,383177.358490566,382530.4147465438,382223.8938053097,382721.88841201714,382341.25,381464.7773279352,379666.53225806454,381899.6,383807.96812749,385134.92063492065,383566.6666666667,393636.4705882353,394999.21875,397318.3908045977,403402.2388059702,406957.037037037,413183.5164835165,419566.6666666667,419033.6917562724,419284.6975088968,421241.63701067615,423637.58865248226,424316.6666666667,423555.3191489362,423301.06382978725,425915.24822695035,428568.7943262411,430348.58156028367,429565.9574468085,429415.24822695035,428128.0141843972,427936.52482269506,431601.41843971633,435884.0425531915,439955.3191489362,441375.5319148936,440873.40425531915,446657.8014184397,450726.95035460993,453540.42553191487,451983.2740213523,448890.7473309609,448950.0,448743.79562043794,458365.11627906974,475043.79562043794,3818716.3442460317,4237584.426351333,4246184.185479432,4162763.7973387614,3955721.0353661333,4127031.50044101,4384725.938055291,4584916.962919363,4895827.820731017,5138536.879432623,5405106.161496372
5,Orlando-Kissimmee-Sanford,222456.52173913043,215817.39130434784,204995.65217391305,199504.34782608695,192886.95652173914,191265.21739130435,189291.30434782608,183317.39130434784,178069.5652173913,173047.8260869565,170252.1739130435,168473.91304347827,163026.08695652173,155130.4347826087,146630.4347826087,140521.73913043478,138830.4347826087,140852.1739130435,140565.21739130435,139800.0,138852.1739130435,141065.21739130435,143182.60869565216,138470.83333333334,134395.83333333334,129684.0,127968.0,126592.0,125004.0,123284.61538461539,118669.23076923077,120061.53846153847,118684.61538461539,117792.5925925926,113829.62962962964,115537.03703703704,114811.11111111111,115807.4074074074,114092.85714285714,115867.85714285714,117239.28571428571,127372.41379310345,139622.5806451613,141387.09677419355,137932.25806451612,142356.25,145460.60606060605,147721.21212121213,141528.57142857142,141397.14285714287,142022.85714285713,141977.77777777778,143722.22222222222,152762.16216216216,154618.42105263157,154510.52631578947,154168.42105263157,157065.7894736842,157852.63157894736,160621.05263157896,163750.0,168453.84615384616,166745.2380952381,166533.33333333334,167695.2380952381,171376.19047619047,176052.38095238095,178461.90476190476,179397.61904761905,178276.19047619047,179797.61904761905,179657.14285714287,181300.0,180897.77777777778,181648.88888888888,183595.74468085106,185671.42857142858,187657.14285714287,188608.16326530612,186214.0,184472.0,183703.92156862744,184137.25490196078,187886.27450980392,190288.23529411765,194519.60784313726,196896.07843137256,199005.88235294117,200478.431372549,200484.3137254902,202409.43396226416,203472.22222222222,205879.62962962964,206176.36363636365,208745.45454545456,207980.0,209189.0909090909,208458.62068965516,211801.72413793104,212715.5172413793,213703.38983050847,216503.33333333334,218435.0,219743.33333333334,219198.33333333334,223070.0,226743.33333333334,230100.0,230650.0,229830.0,229341.66666666666,229851.66666666666,230703.33333333334,232706.66666666666,233480.0,234288.33333333334,235288.33333333334,240645.0,247205.0,250551.66666666666,252040.0,249621.66666666666,249093.33333333334,246686.66666666666,245621.66666666666,247428.33333333334,245135.59322033898,245900.0,247368.42105263157,252080.35714285713,1950652.1739130437,1784000.0,1523789.8679549117,1495855.7844621595,1776955.709667289,2035215.6256024677,2203223.8295147847,2371633.727881852,2569543.7973540197,2783628.3333333335,2978732.704749161
6,Raleigh-Durham-Chapel Hill,191500.0,189225.0,189325.0,187516.66666666666,189650.0,188741.66666666666,192383.33333333334,192425.0,189991.66666666666,186633.33333333334,192216.66666666666,195408.33333333334,196616.66666666666,187066.66666666666,180958.33333333334,174541.66666666666,176191.66666666666,181708.33333333334,183975.0,185991.66666666666,186491.66666666666,191900.0,199583.33333333334,197958.33333333334,196183.33333333334,187416.66666666666,187241.66666666666,194300.0,194869.23076923078,196515.38461538462,198453.84615384616,201030.76923076922,200214.2857142857,204986.66666666666,204340.0,205346.66666666666,192793.75,186956.25,188005.55555555556,187772.22222222222,188572.22222222222,189983.33333333334,187416.66666666666,187377.77777777778,188195.0,191630.0,192725.0,193545.0,191430.0,194295.0,190630.0,187628.57142857142,186568.18181818182,189895.45454545456,192677.27272727274,194259.0909090909,196381.81818181818,199654.54545454544,202550.0,204531.81818181818,200481.81818181818,195673.91304347827,193017.39130434784,190083.33333333334,188624.0,189028.0,191096.15384615384,193984.61538461538,194984.61538461538,195196.15384615384,192876.92307692306,194819.23076923078,192803.84615384616,193173.07692307694,192384.61538461538,194273.07692307694,196276.92307692306,196107.6923076923,198744.44444444444,201096.2962962963,203874.07407407407,206537.03703703705,206500.0,208540.74074074073,210618.5185185185,213037.03703703705,215440.74074074073,217629.62962962964,219125.92592592593,217721.42857142858,216753.57142857142,217485.7142857143,228362.06896551725,230300.0,235679.3103448276,236675.8620689655,234065.5172413793,231982.75862068965,231889.6551724138,236906.66666666666,236466.66666666666,243206.4516129032,242858.06451612903,243380.64516129033,243471.875,244125.0,247115.625,251800.0,255781.25,258125.0,255150.0,254965.625,256965.625,259634.375,263140.625,263121.875,264156.25,265506.25,264543.75,271265.625,272568.75,280150.0,278187.5,277009.375,273778.125,273406.25,272238.70967741933,273616.12903225806,275567.7419354839,285255.1724137931,1897391.6666666665,2233066.666666667,2358753.5164835164,2298389.4444444445,2309689.935064935,2339251.8125063344,2362967.236467236,2601515.3758438244,2860708.473071932,3095462.5,3297587.1280589537
7,San Francisco-Oakland-Hayward,609295.7446808511,588831.914893617,560665.9574468085,548961.7021276596,549729.1666666666,550302.0833333334,543089.5833333334,534577.0833333334,525085.4166666666,523966.6666666667,520181.25,512491.6666666667,492495.8333333333,479306.0,470344.0,472922.0,487937.2549019608,495015.6862745098,505421.1538461539,515967.92452830187,520583.0188679245,518659.25925925927,523479.6296296296,522894.44444444444,516888.8888888889,518460.0,510050.9090909091,515730.9090909091,518303.63636363635,526300.0,527334.5454545454,519341.0714285714,516566.0714285714,510251.78571428574,513121.4285714286,500192.85714285716,492836.84210526315,477207.01754385966,471400.0,461789.83050847455,464984.74576271186,470955.9322033898,475279.66101694916,474289.83050847455,475105.0847457627,471477.9661016949,468693.22033898305,460988.13559322036,464196.6666666667,475238.70967741933,468244.44444444444,481888.8888888889,490350.79365079367,513106.25,522390.76923076925,538146.9696969697,545503.0303030303,554100.0,555064.7058823529,568055.0724637681,567697.1830985915,574656.9444444445,585255.5555555555,590793.1506849315,610809.4594594594,619059.4594594594,622640.0,627286.6666666666,626850.6666666666,631055.2631578947,643992.1052631579,651059.2105263158,656156.5789473684,654213.1578947369,665457.8947368421,687045.5696202532,695649.3670886076,698450.6329113924,708400.0,712860.7594936709,716425.3164556962,714168.3544303797,720913.9240506329,735338.75,751803.75,766043.75,775654.8780487805,788915.4761904762,791770.2380952381,799625.8823529412,811502.3529411765,818937.6470588235,825021.1764705882,825582.3529411765,834063.5294117647,834202.3529411765,824045.9770114942,831065.9090909091,838006.7415730337,848826.6666666666,858454.9450549451,859547.2527472527,860442.3913043478,864765.2173913043,871558.695652174,876763.0434782609,891094.5652173914,902194.5652173914,907509.7826086957,905116.304347826,906478.2608695652,912088.0434782609,911281.5217391305,922995.6521739131,933678.2608695652,953042.3913043478,968988.0434782609,982131.5217391305,987503.2608695652,996823.9130434783,1006742.3913043478,1016325.0,1019272.8260869565,1018428.2608695652,1028126.0869565217,1027653.3333333334,1046115.9090909091,1051562.0689655172,1060136.9047619049,986753.9682539683,5534505.319148937,5991325.04767811,6225601.891534392,5748641.196210866,5982847.878491186,7179224.127539791,8203878.947368421,9411110.178149834,10201742.72232333,11096598.91304348,12245443.923536066
8,Seattle-Tacoma-Bellevue,369272.54901960783,361194.1176470588,353547.0588235294,346505.8823529412,344833.3333333333,344662.7450980392,339523.5294117647,336143.137254902,329049.01960784313,331672.54901960783,335100.0,335686.2745098039,331423.5294117647,330531.48148148146,322744.8275862069,315965.5172413793,316908.06451612903,320017.7419354839,319477.4193548387,321540.32258064515,323832.2580645161,329261.29032258067,331840.32258064515,332216.12903225806,329554.8387096774,324955.55555555556,316255.55555555556,311349.20634920633,322562.5,327700.0,328258.46153846156,321543.07692307694,317378.46153846156,319589.23076923075,316286.5671641791,312267.1641791045,305785.29411764705,298178.26086956525,287794.3661971831,279354.1666666667,280658.90410958906,283252.05479452055,289019.1780821918,284963.01369863015,286077.02702702704,283489.1891891892,285700.0,286756.0,288712.0,288620.5128205128,289348.71794871794,292003.8461538461,289871.25,299443.2098765432,304966.6666666667,308432.14285714284,309295.3488372093,311375.8620689655,311056.3218390805,311181.6091954023,310647.19101123593,313531.1111111111,313302.1978021978,317964.2105263158,320644.7916666667,325232.2916666667,329134.0206185567,328374.7474747475,329868.68686868687,327989.89898989897,329081.8181818182,327267.6767676768,328821.2121212121,329845.45454545453,335448.48484848486,338689.0,341194.0,342280.0,345426.0,346294.0594059406,348084.1584158416,349608.82352941175,354610.7843137255,356537.2549019608,358029.12621359224,357666.3461538461,359632.07547169813,362893.3962264151,364506.6037735849,368966.9811320755,372219.8113207547,376890.56603773584,379105.6603773585,387568.8679245283,398175.7009345794,404606.5420560748,405731.7757009346,404208.25688073394,403809.9099099099,405060.71428571426,407683.03571428574,412569.0265486726,416053.98230088496,421124.77876106196,426437.16814159293,432447.78761061945,440342.4778761062,444822.1238938053,449708.8495575221,452870.796460177,459732.7433628319,465987.610619469,472096.4601769911,474262.83185840707,477460.1769911504,483796.4601769911,493048.6725663717,502185.8407079646,513284.0707964602,518143.3628318584,528325.6637168141,529587.6106194691,535476.9911504425,531607.9646017699,526922.3214285715,518748.64864864864,516522.0183486239,516849.0740740741,518407.476635514,521820.75471698114,3456403.9215686275,3902488.7270048303,3883203.3385521285,3507125.1860954934,3554525.5572296046,3838927.0787705663,4062040.6878158404,4398627.4738472765,4937908.678845064,5616315.044247787,6275695.957569228
9,Washington-Arlington-Alexandria,436698.2456140351,424473.6842105263,414382.4561403509,403977.1929824561,400580.70175438595,394132.7586206897,390791.3793103448,386372.8813559322,381777.9661016949,380705.0847457627,374457.6271186441,370288.13559322036,369457.6271186441,366308.3333333333,363125.8064516129,351384.375,351673.8461538461,359096.9696969697,360151.3888888889,359606.8493150685,357754.79452054796,359704.1095890411,366112.3287671233,370831.5068493151,364768.0,367749.3333333333,358019.23076923075,358610.25641025644,356726.92307692306,362125.641025641,370389.74358974356,371612.6582278481,365290.4761904762,366601.17647058825,362491.76470588235,359346.511627907,353545.9770114943,356929.8850574713,356698.86363636365,352194.44444444444,351402.1978021978,354112.0879120879,354506.4516129032,357568.4210526316,356421.2121212121,354584.8484848485,352430.39215686277,347972.38095238095,347132.38095238095,350314.28571428574,353956.07476635516,357392.6605504587,355504.46428571426,358920.53571428574,366888.5964912281,365229.3103448276,366419.8275862069,364072.35772357724,367530.89430894307,369894.30894308945,372844.7154471545,377633.06451612903,376905.51181102364,378943.75,382083.59375,384605.46875,386630.46875,385095.3846153846,386625.3846153846,386506.92307692306,387746.92307692306,387873.07692307694,387823.8461538461,387596.9465648855,388062.6865671642,392995.55555555556,392298.5294117647,387989.92805755395,389832.3741007194,391764.28571428574,391402.8368794326,390597.1830985916,391563.38028169016,392825.3521126761,394641.54929577466,395965.034965035,401802.7210884354,401234.2281879195,397904.6357615894,395372.36842105264,399781.16883116885,402744.1558441558,403055.8441558442,403078.70967741933,402334.8387096774,403596.12903225806,402582.0512820513,402268.35443037975,400436.875,398527.3291925466,397850.6172839506,404474.8466257669,405917.1779141104,407892.0245398773,408474.23312883434,411814.7239263804,417286.50306748465,419103.68098159507,419535.5828220859,418654.60122699384,417989.5705521472,418560.736196319,418062.5766871166,420912.2699386503,421214.11042944784,421739.263803681,421806.74846625765,427041.10429447854,429689.5705521472,432523.9263803681,434328.2208588957,439246.62576687115,436770.5521472393,435145.39877300616,432661.34969325154,436006.74846625765,439822.08588957053,440233.74233128835,444245.34161490685,419747.70642201835,4013892.350836179,4343009.862779817,4378837.274710479,4269802.665469443,4286233.267238564,4555299.468584032,4675984.1721038,4779969.148622761,4846169.201065833,5041906.748466258,5220421.26889582
