,Metro,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018
0,Austin-Round Rock,61.201550387596896,56.97674418604651,52.348837209302324,52.689922480620154,52.0,51.093023255813954,50.542635658914726,49.06201550387597,46.93798449612403,45.29457364341085,45.36434108527132,48.08527131782946,48.13953488372093,46.224806201550386,42.84496124031008,42.5968992248062,43.72868217054263,44.92248062015504,45.55038759689923,45.83720930232558,51.4031007751938,52.75968992248062,53.63565891472868,49.713178294573645,49.75968992248062,49.76744186046512,50.13953488372093,50.41984732824427,45.52671755725191,41.12977099236641,37.229007633587784,37.14503816793893,40.412213740458014,41.900763358778626,46.786259541984734,45.41984732824427,46.45038167938932,43.274809160305345,43.908396946564885,43.23664122137404,42.152671755725194,42.33587786259542,41.51145038167939,41.52671755725191,42.030534351145036,43.33587786259542,47.43511450381679,49.99236641221374,49.717557251908396,47.12213740458015,46.10687022900763,47.74809160305343,49.6793893129771,49.16793893129771,47.30534351145038,48.11450381679389,49.60606060606061,52.04545454545455,56.85606060606061,58.17424242424242,67.80597014925372,66.69402985074628,67.78358208955224,68.91111111111111,68.07407407407408,68.24444444444444,68.4074074074074,67.11111111111111,65.62222222222222,65.25925925925925,67.8,69.80740740740741,69.36296296296297,67.44444444444444,66.60740740740741,69.11111111111111,70.22962962962963,68.4,69.37777777777778,69.70370370370371,71.70370370370371,71.45925925925926,72.74814814814815,73.68888888888888,74.63970588235294,71.58088235294117,71.19117647058823,74.79136690647482,77.88489208633094,77.77697841726619,77.15827338129496,75.68345323741008,76.50359712230215,77.72661870503597,82.54676258992805,87.61151079136691,87.69064748201438,84.54676258992805,80.49640287769785,80.84172661870504,79.60431654676259,81.16546762589928,80.07913669064749,78.83453237410072,80.5179856115108,79.9136690647482,87.07913669064749,86.71942446043165,87.48920863309353,81.64028776978417,80.67625899280576,80.83453237410072,81.0863309352518,80.46762589928058,78.76978417266187,79.46043165467626,81.89208633093526,82.38129496402878,90.57553956834532,92.07913669064749,92.87769784172662,86.1726618705036,84.3021582733813,85.92700729927007,85.7007299270073,83.75182481751825,82.48148148148148,79.67910447761194,76.06106870229007,63.886792452830186,518.1472868217054,557.4573643410853,546.778862654595,521.9694656488549,584.0408281286143,788.9435147494848,831.0074074074074,901.3739815990344,983.8489208633093,988.4964028776978,1003.4952034026136
1,Dallas-Fort Worth-Arlington,61.201550387596896,56.97674418604651,52.348837209302324,52.689922480620154,52.0,51.093023255813954,50.542635658914726,49.06201550387597,46.93798449612403,45.29457364341085,45.36434108527132,48.08527131782946,48.13953488372093,46.224806201550386,42.84496124031008,42.5968992248062,43.72868217054263,44.92248062015504,45.55038759689923,45.83720930232558,51.4031007751938,52.75968992248062,53.63565891472868,49.713178294573645,49.75968992248062,49.76744186046512,50.13953488372093,50.41984732824427,45.52671755725191,41.12977099236641,37.229007633587784,37.14503816793893,40.412213740458014,41.900763358778626,46.786259541984734,45.41984732824427,46.45038167938932,43.274809160305345,43.908396946564885,43.23664122137404,42.152671755725194,42.33587786259542,41.51145038167939,41.52671755725191,42.030534351145036,43.33587786259542,47.43511450381679,49.99236641221374,49.717557251908396,47.12213740458015,46.10687022900763,47.74809160305343,49.6793893129771,49.16793893129771,47.30534351145038,48.11450381679389,49.60606060606061,52.04545454545455,56.85606060606061,58.17424242424242,67.80597014925372,66.69402985074628,67.78358208955224,68.91111111111111,68.07407407407408,68.24444444444444,68.4074074074074,67.11111111111111,65.62222222222222,65.25925925925925,67.8,69.80740740740741,69.36296296296297,67.44444444444444,66.60740740740741,69.11111111111111,70.22962962962963,68.4,69.37777777777778,69.70370370370371,71.70370370370371,71.45925925925926,72.74814814814815,73.68888888888888,74.63970588235294,71.58088235294117,71.19117647058823,74.79136690647482,77.88489208633094,77.77697841726619,77.15827338129496,75.68345323741008,76.50359712230215,77.72661870503597,82.54676258992805,87.61151079136691,87.69064748201438,84.54676258992805,80.49640287769785,80.84172661870504,79.60431654676259,81.16546762589928,80.07913669064749,78.83453237410072,80.5179856115108,79.9136690647482,87.07913669064749,86.71942446043165,87.48920863309353,81.64028776978417,80.67625899280576,80.83453237410072,81.0863309352518,80.46762589928058,78.76978417266187,79.46043165467626,81.89208633093526,82.38129496402878,90.57553956834532,92.07913669064749,92.87769784172662,86.1726618705036,84.3021582733813,85.92700729927007,85.7007299270073,83.75182481751825,82.48148148148148,79.67910447761194,76.06106870229007,63.886792452830186,518.1472868217054,557.4573643410853,546.778862654595,521.9694656488549,584.0408281286143,788.9435147494848,831.0074074074074,901.3739815990344,983.8489208633093,988.4964028776978,1003.4952034026136
2,Denver-Aurora-Lakewood,94.29545454545455,84.5909090909091,77.43181818181819,76.11363636363636,76.70454545454545,75.95454545454545,77.27272727272727,79.45454545454545,78.47727272727273,74.79545454545455,74.5,80.95454545454545,81.11363636363636,72.29545454545455,60.47727272727273,60.68888888888889,63.733333333333334,65.62222222222222,66.17777777777778,65.91111111111111,72.73333333333333,72.33333333333333,76.46666666666667,75.06666666666666,79.04444444444445,75.73333333333333,72.64444444444445,69.6,61.666666666666664,54.62222222222222,49.666666666666664,49.13333333333333,53.422222222222224,54.17777777777778,64.02222222222223,67.84444444444445,71.06666666666666,65.22222222222223,61.17777777777778,60.93478260869565,59.369565217391305,60.69565217391305,61.26086956521739,62.869565217391305,64.93478260869566,66.3695652173913,73.26086956521739,81.32608695652173,83.84782608695652,80.52173913043478,74.8913043478261,75.28260869565217,75.80434782608695,76.91304347826087,76.56521739130434,78.8695652173913,81.3913043478261,83.3695652173913,92.3695652173913,99.17391304347827,103.1086956521739,99.67391304347827,96.95652173913044,97.15217391304348,99.69565217391305,99.08695652173913,97.08695652173913,92.47826086956522,87.91304347826087,85.04347826086956,88.3695652173913,95.0,98.32608695652173,97.43478260869566,93.41304347826087,96.26086956521739,100.06521739130434,101.0,102.65217391304348,99.65217391304348,98.93478260869566,97.08695652173913,99.19565217391305,104.67391304347827,106.26086956521739,105.34782608695652,101.06521739130434,104.82608695652173,107.19565217391305,107.95652173913044,106.78260869565217,104.65217391304348,101.54347826086956,101.82608695652173,107.23913043478261,115.69565217391305,113.15217391304348,104.08695652173913,96.52173913043478,95.71739130434783,94.91304347826087,96.95652173913044,96.52173913043478,98.23913043478261,103.30434782608695,104.6304347826087,116.56521739130434,118.3913043478261,119.97826086956522,108.41304347826087,102.82608695652173,100.8913043478261,99.52173913043478,98.91304347826087,96.3913043478261,98.8913043478261,101.8913043478261,103.02173913043478,112.43478260869566,115.97826086956522,118.82608695652173,109.69565217391305,102.17391304347827,99.6086956521739,98.08695652173913,97.45652173913044,88.57777777777778,85.72727272727273,82.93181818181819,86.86842105263158,795.0909090909091,836.5409090909093,771.2444444444444,765.7681159420289,942.0434782608695,1149.7391304347825,1168.195652173913,1251.3260869565215,1226.9782608695652,1265.695652173913,1198.366159304718
3,Detroit-Warren-Dearborn,30.155844155844157,31.233766233766232,30.454545454545453,28.974025974025974,28.454545454545453,27.103896103896105,28.662337662337663,29.31168831168831,30.324675324675326,29.92207792207792,29.0,30.103896103896105,32.81818181818182,35.64935064935065,36.18181818181818,33.16883116883117,32.532467532467535,31.961038961038962,33.66233766233766,32.03896103896104,34.493506493506494,37.58441558441559,39.116883116883116,39.77922077922078,39.61038961038961,42.324675324675326,41.324675324675326,39.5974025974026,36.29113924050633,33.29113924050633,31.2,30.725,31.4125,31.5125,33.475,36.775,41.325,42.0875,39.0125,36.926829268292686,34.23170731707317,36.426829268292686,36.926829268292686,36.670731707317074,36.670731707317074,37.1219512195122,39.02439024390244,42.53658536585366,45.451219512195124,45.13414634146341,43.02439024390244,40.91463414634146,41.036144578313255,40.31764705882353,38.55294117647059,41.22352941176471,42.870588235294115,44.37647058823529,45.23529411764706,49.72941176470588,53.976470588235294,53.529411764705884,51.705882352941174,49.588235294117645,50.694117647058825,49.31764705882353,51.27058823529412,52.53488372093023,52.36046511627907,50.2093023255814,48.395348837209305,48.25581395348837,46.593023255813954,45.45348837209303,43.86046511627907,44.2093023255814,43.77906976744186,43.81395348837209,45.24418604651163,47.2906976744186,47.825581395348834,49.7906976744186,50.367816091954026,51.770114942528735,50.7816091954023,53.49425287356322,52.47126436781609,53.13793103448276,51.37931034482759,51.5632183908046,50.264367816091955,49.37931034482759,50.59090909090909,52.51685393258427,52.87777777777778,55.7,57.22222222222222,58.43333333333333,57.27777777777778,56.8,56.1,56.77777777777778,56.8,53.6,52.1,51.98888888888889,55.21111111111111,55.544444444444444,56.733333333333334,54.7,55.34444444444444,54.233333333333334,55.766666666666666,56.93333333333333,56.05555555555556,55.888888888888886,55.53333333333333,55.87777777777778,56.55555555555556,54.06666666666667,54.13333333333333,54.422222222222224,56.91111111111111,56.18888888888889,57.06666666666667,55.235955056179776,53.69662921348315,50.69662921348315,50.26136363636363,51.46551724137931,294.59740259740255,399.1948051948052,436.18552523425944,447.65060975609765,504.4626869025601,610.15170998632,554.5116279069767,617.7169584257922,665.6777777777779,667.8222222222221,650.7005388053334
4,New York-Newark-Jersey City,14.467561521252797,14.324384787472036,13.79642058165548,13.185682326621924,12.870246085011185,12.409395973154362,12.447427293064877,11.67337807606264,11.364653243847874,10.727069351230424,10.221476510067115,10.038031319910514,10.228187919463087,10.35123042505593,10.508928571428571,10.430803571428571,10.933035714285714,11.350446428571429,12.006696428571429,12.171875,13.095982142857142,13.64142538975501,13.57238307349666,12.643652561247215,12.853006681514477,13.135857461024498,13.340757238307349,13.429844097995545,13.614699331848552,12.67260579064588,11.224444444444444,9.995555555555555,10.384444444444444,10.146666666666667,10.711751662971174,11.301552106430155,12.720620842572062,12.521064301552107,11.937915742793791,11.13968957871397,11.022172949002217,10.915742793791575,10.638580931263858,10.412416851441241,10.248337028824833,10.15521064301552,10.452328159645234,11.121951219512194,11.592017738359202,11.725055432372505,11.796008869179602,11.58980044345898,11.752212389380531,11.519911504424778,11.537610619469026,11.52212389380531,11.376106194690266,11.825221238938052,12.827433628318584,14.057522123893806,14.440265486725664,14.323008849557523,14.389380530973451,14.212389380530974,14.524336283185841,14.326710816777043,14.741721854304636,14.77924944812362,14.697571743929359,14.47682119205298,14.32008830022075,14.211920529801324,14.386313465783665,14.154525386313466,14.123620309050773,13.951434878587197,14.609271523178808,14.602649006622517,14.693156732891833,14.41280353200883,14.432671081677704,15.026490066225165,14.86534216335541,15.918322295805739,16.30242825607064,16.84988962472406,16.097130242825607,15.993377483443709,16.7439293598234,17.719646799116997,18.220750551876378,17.740088105726873,18.21098901098901,17.986813186813187,18.38021978021978,19.81758241758242,20.892307692307693,21.406593406593405,20.345733041575492,20.25601750547046,20.15754923413567,20.99344978165939,21.187772925764193,21.312227074235807,21.62008733624454,21.96288209606987,23.480349344978166,24.33187772925764,25.393013100436683,24.69281045751634,24.233115468409586,23.47276688453159,23.045751633986928,23.422657952069716,23.237472766884533,24.867391304347827,25.058568329718003,25.17353579175705,26.392624728850326,28.125813449023862,28.856832971800433,28.559652928416487,27.04338394793926,26.62091503267974,25.753275109170307,25.541484716157207,24.230263157894736,23.980132450331126,23.96388261851016,24.682008368200837,127.26621923937358,134.9781194213945,147.0139173471913,133.7250554323725,137.8103477032357,171.7964113383735,172.92494481236204,202.648707080571,248.33242229185873,290.40931076389404,313.75026947897453
5,Orlando-Kissimmee-Sanford,33.11363636363637,30.318181818181817,28.75,28.318181818181817,30.068181818181817,29.15909090909091,31.386363636363637,31.181818181818183,32.97727272727273,30.977272727272727,33.25,35.43181818181818,39.13636363636363,39.04545454545455,41.34090909090909,41.90909090909091,45.20454545454545,46.11363636363637,50.70454545454545,51.75,55.56818181818182,53.90909090909091,56.43181818181818,53.40909090909091,55.25,51.81818181818182,52.13636363636363,51.68888888888889,51.51111111111111,51.93478260869565,51.67391304347826,51.54347826086956,51.45652173913044,50.93478260869565,54.130434782608695,57.369565217391305,59.78260869565217,56.41304347826087,52.19565217391305,48.297872340425535,46.48936170212766,45.59574468085106,45.61702127659574,46.0,47.46808510638298,47.234042553191486,48.40425531914894,48.297872340425535,49.638297872340424,48.97872340425532,49.340425531914896,47.361702127659576,47.808510638297875,46.97872340425532,47.06382978723404,49.95744680851064,53.680851063829785,56.319148936170215,59.40425531914894,60.53191489361702,61.361702127659576,60.744680851063826,59.638297872340424,58.765957446808514,57.319148936170215,57.638297872340424,61.06382978723404,61.5531914893617,61.212765957446805,59.91489361702128,61.319148936170215,61.93617021276596,62.787234042553195,62.276595744680854,65.85106382978724,66.25531914893617,68.95744680851064,64.8936170212766,67.51063829787235,68.59574468085107,72.68085106382979,74.65957446808511,73.82978723404256,76.34042553191489,78.95744680851064,81.7872340425532,80.19148936170212,81.36170212765957,82.70212765957447,83.1063829787234,87.04166666666667,85.66666666666667,86.3125,82.52083333333333,82.47916666666667,83.6875,83.35416666666667,82.77083333333333,81.91666666666667,82.66666666666667,82.41666666666667,84.0625,83.58333333333333,82.22916666666667,81.97916666666667,83.58333333333333,86.89583333333333,85.75,85.5,83.625,85.25,84.875,83.66666666666667,82.64583333333333,77.16666666666667,80.22916666666667,83.02083333333333,86.97916666666667,89.70833333333333,90.22916666666667,91.70833333333333,86.77083333333333,86.35416666666667,86.38297872340425,85.63829787234043,81.65957446808511,80.44680851063829,83.15217391304348,83.15217391304348,87.25581395348837,306.25,533.3636363636364,629.7889328063242,606.5934320074006,593.8297872340426,719.1489361702127,797.7234042553191,979.8182624113475,994.7291666666667,1005.6041666666666,1032.4586546873768
6,Raleigh-Durham-Chapel Hill,84.25,79.75,69.4375,66.125,65.3125,62.4375,61.375,58.125,54.75,51.6875,52.1875,58.0,59.8125,57.0625,52.5625,54.6875,59.625,61.3125,62.5,63.0,71.0,69.0,66.4375,61.1875,64.5625,69.0,69.0625,66.8125,58.25,51.0625,46.4375,45.625,47.9375,51.0625,57.0,59.6875,58.0,54.9375,51.25,53.1875,51.8125,55.0,51.470588235294116,50.588235294117645,50.0,47.8235294117647,52.705882352941174,59.11764705882353,64.11764705882354,63.11764705882353,58.35294117647059,59.411764705882355,58.705882352941174,57.411764705882355,55.294117647058826,51.23529411764706,53.11764705882353,55.294117647058826,66.70588235294117,74.29411764705883,76.29411764705883,77.05882352941177,76.0,76.41176470588235,75.29411764705883,74.05882352941177,73.17647058823529,71.6470588235294,71.6470588235294,73.52941176470588,77.41176470588235,79.58823529411765,79.29411764705883,76.88235294117646,76.3529411764706,77.76470588235294,78.70588235294117,75.29411764705883,68.6470588235294,69.05882352941177,71.52941176470588,79.3529411764706,80.6470588235294,83.23529411764706,81.82352941176471,69.76470588235294,61.35294117647059,61.411764705882355,74.6470588235294,81.41176470588235,82.6470588235294,81.23529411764706,77.70588235294117,72.58823529411765,72.17647058823529,76.58823529411765,81.52941176470588,81.41176470588235,82.05882352941177,87.88235294117646,87.52941176470588,89.17647058823529,87.82352941176471,90.0,92.52941176470588,90.94117647058823,95.6470588235294,99.72222222222223,104.11111111111111,99.38888888888889,96.27777777777777,97.15,96.2,97.6,95.15,97.4,100.05,98.95,103.4,105.8,110.65,111.3,108.6,104.6,100.8,100.1,95.35,94.0,95.2,116.23529411764706,653.25,720.75,697.4375,640.7573529411766,687.8823529411765,886.1176470588233,909.8823529411765,908.4705882352941,1019.6470588235293,1177.6470588235295,1246.035294117647
7,San Francisco-Oakland-Hayward,46.36666666666667,44.583333333333336,39.8,40.25,42.18032786885246,43.78688524590164,46.16393442622951,47.721311475409834,45.967213114754095,45.22950819672131,48.22950819672131,56.81967213114754,56.36065573770492,50.950819672131146,42.868852459016395,46.46774193548387,49.08064516129032,49.83870967741935,52.74603174603175,51.17460317460318,52.61904761904762,53.26984126984127,57.904761904761905,65.07936507936508,64.98412698412699,60.03174603174603,53.15873015873016,51.523809523809526,49.3968253968254,45.65079365079365,44.25396825396825,43.87301587301587,45.95238095238095,49.38095238095238,58.142857142857146,66.57142857142857,66.95238095238095,60.0,51.76190476190476,51.55384615384615,50.44615384615385,50.753846153846155,50.04615384615385,49.723076923076924,50.323076923076925,52.33846153846154,61.30769230769231,72.67692307692307,74.26153846153846,69.01538461538462,60.33846153846154,58.815384615384616,57.815384615384616,55.38461538461539,53.646153846153844,54.86153846153846,57.76923076923077,60.646153846153844,67.0923076923077,74.53846153846153,75.28787878787878,69.93939393939394,62.65151515151515,60.666666666666664,61.666666666666664,62.18181818181818,61.984848484848484,61.10606060606061,60.03030303030303,60.72727272727273,64.75757575757575,73.51515151515152,72.92537313432835,70.67164179104478,64.05970149253731,66.86764705882354,68.32352941176471,67.88235294117646,69.92647058823529,70.5,69.97058823529412,69.29411764705883,71.73529411764706,78.23529411764706,79.33823529411765,76.8970588235294,72.3970588235294,74.8529411764706,76.82352941176471,76.36764705882354,75.70588235294117,73.01470588235294,71.75,72.58823529411765,77.08823529411765,84.83823529411765,82.21739130434783,77.7536231884058,70.71014492753623,71.76811594202898,70.47826086956522,71.7536231884058,71.92753623188406,72.08695652173913,74.59420289855072,73.8695652173913,81.73913043478261,83.66666666666667,85.1304347826087,76.6231884057971,72.43478260869566,72.81159420289855,73.82608695652173,73.97101449275362,71.2463768115942,72.68115942028986,73.33333333333333,72.7536231884058,75.31884057971014,80.07246376811594,81.4927536231884,77.72463768115942,72.10144927536231,68.79411764705883,67.42647058823529,65.5223880597015,61.378787878787875,60.72727272727273,61.109375,58.42857142857143,442.04918032786884,610.4261287804387,631.1904761904763,658.6131868131868,736.5384615384615,777.8731934731935,828.6941495729906,899.7058823529412,899.0858908780903,910.2173913043479,830.0971282571638
8,Seattle-Tacoma-Bellevue,43.64102564102564,39.80769230769231,34.11538461538461,32.282051282051285,30.44871794871795,29.23076923076923,29.512820512820515,29.333333333333332,27.08974358974359,24.576923076923077,25.397435897435898,28.307692307692307,28.71794871794872,27.025316455696203,25.151898734177216,26.835443037974684,29.72151898734177,31.075949367088608,32.139240506329116,33.962025316455694,38.0126582278481,38.46835443037975,39.22784810126582,39.53164556962025,41.18987341772152,40.75949367088607,38.164556962025316,35.53164556962025,31.025316455696203,27.873417721518987,25.89873417721519,26.835443037974684,28.759493670886076,32.063291139240505,37.9625,41.1,43.864197530864196,39.58024691358025,36.592592592592595,35.28395061728395,34.82716049382716,35.888888888888886,35.98765432098765,36.98765432098765,37.641975308641975,39.02469135802469,43.098765432098766,47.54320987654321,48.160493827160494,45.46913580246913,41.4320987654321,39.67901234567901,38.79012345679013,38.864197530864196,38.71604938271605,40.24691358024691,41.96296296296296,44.77777777777778,50.51851851851852,53.71604938271605,55.18518518518518,52.20987654320987,50.617283950617285,49.925925925925924,51.55555555555556,52.27160493827161,52.23456790123457,50.75308641975309,49.617283950617285,50.0,53.91358024691358,56.95061728395062,56.851851851851855,53.32098765432099,50.30864197530864,50.97530864197531,51.50617283950617,51.60493827160494,52.28395061728395,53.27160493827161,53.91358024691358,54.97530864197531,57.65432098765432,62.074074074074076,63.160493827160494,62.876543209876544,60.72839506172839,61.67901234567901,61.79012345679013,61.22222222222222,61.617283950617285,60.17283950617284,59.25925925925926,59.55555555555556,61.95061728395062,66.14814814814815,66.17283950617283,64.80246913580247,63.7037037037037,64.38271604938272,65.0246913580247,66.44444444444444,66.85185185185185,66.82716049382717,68.09876543209876,67.35802469135803,73.98765432098766,73.79012345679013,73.79012345679013,64.76543209876543,63.71604938271605,66.04878048780488,68.67073170731707,69.4390243902439,68.3170731707317,69.97560975609755,71.7439024390244,70.15853658536585,71.32926829268293,71.3048780487805,71.3780487804878,67.59756097560975,64.41463414634147,64.7439024390244,64.7560975609756,62.48148148148148,58.607594936708864,56.94805194805195,59.0,59.891891891891895,320.0384615384616,364.81548198636807,406.8607594936709,454.74151234567904,508.7407407407407,618.604938271605,639.8765432098766,731.7901234567902,787.7654320987654,834.4030412526348,772.4534105020366
9,Washington-Arlington-Alexandria,25.401574803149607,24.606299212598426,23.141732283464567,22.937007874015748,23.086614173228348,23.25984251968504,25.976744186046513,27.05426356589147,27.13953488372093,25.73643410852713,25.565891472868216,26.73643410852713,27.387596899224807,26.325581395348838,24.26356589147287,24.53846153846154,24.369230769230768,25.023076923076925,27.12213740458015,27.595419847328245,28.99236641221374,28.358778625954198,29.900763358778626,28.87786259541985,29.3206106870229,27.53435114503817,26.480916030534353,26.356060606060606,24.356060606060606,25.16417910447761,24.65671641791045,25.71641791044776,24.90714285714286,24.364285714285714,26.90714285714286,27.792857142857144,29.17142857142857,26.84285714285714,25.5,24.607142857142858,23.792857142857144,23.65714285714286,23.485915492957748,23.295774647887324,23.528169014084508,23.380281690140844,26.669014084507044,29.13986013986014,29.986013986013987,27.55944055944056,26.706293706293707,26.930555555555557,27.28472222222222,27.583333333333332,26.40277777777778,26.958333333333332,28.1875,28.555555555555557,33.75342465753425,33.60958904109589,35.15068493150685,32.465753424657535,32.28082191780822,33.52739726027397,33.56849315068493,33.842465753424655,33.273972602739725,33.56849315068493,32.80821917808219,31.897260273972602,32.23287671232877,32.965753424657535,33.33561643835616,32.56164383561644,31.10958904109589,31.876712328767123,32.794520547945204,33.60958904109589,34.78378378378378,35.0945945945946,35.41216216216216,36.03378378378378,36.817567567567565,38.486486486486484,38.36486486486486,38.04054054054054,36.82432432432432,38.20134228187919,39.84563758389262,40.42953020134228,40.8421052631579,39.57236842105263,39.026315789473685,40.83552631578947,41.44736842105263,46.14473684210526,46.13815789473684,46.10526315789474,44.666666666666664,45.69281045751634,46.34640522875817,47.04516129032258,46.0258064516129,45.825806451612905,47.57419354838709,47.60645161290323,51.987096774193546,53.30967741935484,55.05161290322581,51.38709677419355,49.193548387096776,48.85806451612903,47.987096774193546,47.019354838709674,46.561290322580646,46.909677419354836,47.52903225806452,45.806451612903224,48.516129032258064,49.090322580645164,50.15483870967742,47.69032258064516,47.096774193548384,47.63225806451613,48.810457516339866,48.54248366013072,46.4671052631579,45.72185430463576,45.30201342281879,41.07079646017699,248.34004761032776,316.27854128828744,317.6353670331795,301.96156941649906,331.9634002538932,399.74657534246575,401.8106256941874,467.28660964037164,550.6188280235693,591.5999999999999,566.0953557885504
